homeGame,score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,year,play_type
TRUE,7,TRUE,1,3038,1238,19,2,10,2019,Pass
TRUE,10,FALSE,2,2540,740,71,1,10,2019,Pass
TRUE,7,TRUE,2,2177,377,61,3,13,2019,Pass
TRUE,0,TRUE,2,1889,89,86,3,9,2019,Pass
TRUE,7,TRUE,4,635,635,7,3,7,2019,Pass
TRUE,0,TRUE,4,74,74,47,3,3,2019,Pass
TRUE,7,TRUE,2,2038,238,88,1,10,2019,Pass
TRUE,0,TRUE,1,3522,1722,70,3,5,2019,Pass
TRUE,0,TRUE,1,3337,1537,78,1,10,2019,Pass
TRUE,7,TRUE,1,3110,1310,45,1,10,2019,Pass
TRUE,10,FALSE,1,2866,1066,82,2,8,2019,Pass
TRUE,10,FALSE,1,2893,1093,84,1,10,2019,Pass
TRUE,7,TRUE,2,2297,497,71,1,10,2019,Pass
TRUE,-3,TRUE,3,1600,1600,40,3,4,2019,Pass
TRUE,-3,TRUE,3,1680,1680,65,2,6,2019,Pass
TRUE,-3,TRUE,3,1659,1659,46,1,10,2019,Pass
TRUE,0,TRUE,3,1231,1231,66,3,2,2019,Pass
TRUE,0,TRUE,3,1275,1275,72,2,8,2019,Pass
TRUE,7,TRUE,4,754,754,24,3,8,2019,Pass
TRUE,7,TRUE,4,867,867,46,3,6,2019,Pass
TRUE,3,TRUE,4,482,482,61,2,6,2019,Pass
TRUE,0,TRUE,4,182,182,85,1,20,2019,Pass
TRUE,0,TRUE,5,-900,-900,23,1,10,2019,Pass
TRUE,7,TRUE,3,1089,1089,18,3,6,2019,Pass
TRUE,0,TRUE,1,3554,1754,72,2,7,2019,Rush
TRUE,0,TRUE,1,3595,1795,75,1,10,2019,Rush
TRUE,0,TRUE,1,3299,1499,7,1,7,2019,Rush
TRUE,7,TRUE,1,3132,1332,58,2,7,2019,Rush
TRUE,7,TRUE,1,3168,1368,61,1,10,2019,Rush
TRUE,7,TRUE,1,3078,1278,19,1,10,2019,Rush
TRUE,10,FALSE,1,2700,900,78,3,23,2019,Rush
TRUE,10,FALSE,1,2795,995,65,2,10,2019,Rush
TRUE,10,FALSE,1,2833,1033,65,1,10,2019,Rush
TRUE,10,FALSE,2,2534,734,71,2,10,2019,Rush
TRUE,7,TRUE,2,2335,535,78,3,7,2019,Rush
TRUE,7,TRUE,2,2190,390,58,2,10,2019,Rush
TRUE,7,TRUE,2,2378,578,75,2,4,2019,Rush
TRUE,7,TRUE,2,2264,464,64,2,3,2019,Rush
TRUE,7,TRUE,2,2406,606,81,1,10,2019,Rush
TRUE,7,TRUE,2,2225,425,58,1,10,2019,Rush
TRUE,0,TRUE,2,1966,166,87,1,10,2019,Rush
TRUE,-3,TRUE,2,1800,0,72,1,10,2019,Rush
TRUE,-3,TRUE,3,1404,1404,11,3,8,2019,Rush
TRUE,-3,TRUE,3,1529,1529,28,2,10,2019,Rush
TRUE,-3,TRUE,3,1453,1453,13,2,10,2019,Rush
TRUE,-3,TRUE,3,1629,1629,42,2,6,2019,Rush
TRUE,-3,TRUE,3,1706,1706,69,1,10,2019,Rush
TRUE,-3,TRUE,3,1565,1565,28,1,10,2019,Rush
TRUE,-3,TRUE,3,1492,1492,13,1,10,2019,Rush
TRUE,0,TRUE,3,1125,1125,20,2,8,2019,Rush
TRUE,0,TRUE,3,1308,1308,74,1,10,2019,Rush
TRUE,0,TRUE,3,1220,1220,49,1,10,2019,Rush
TRUE,0,TRUE,3,1197,1197,32,1,10,2019,Rush
TRUE,0,TRUE,3,1167,1167,22,1,10,2019,Rush
TRUE,7,TRUE,4,793,793,23,2,7,2019,Rush
TRUE,7,TRUE,4,895,895,44,2,4,2019,Rush
TRUE,7,TRUE,4,665,665,4,2,4,2019,Rush
TRUE,7,TRUE,3,900,900,50,1,10,2019,Rush
TRUE,7,TRUE,4,834,834,26,1,10,2019,Rush
TRUE,7,TRUE,4,716,716,7,1,7,2019,Rush
TRUE,3,TRUE,4,380,380,46,3,9,2019,Rush
TRUE,3,TRUE,4,420,420,47,2,10,2019,Rush
TRUE,3,TRUE,4,543,543,66,2,1,2019,Rush
TRUE,3,TRUE,4,573,573,75,1,10,2019,Rush
TRUE,3,TRUE,4,514,514,65,1,10,2019,Rush
TRUE,3,TRUE,4,444,444,47,1,10,2019,Rush
TRUE,0,TRUE,4,119,119,52,2,8,2019,Rush
TRUE,0,TRUE,4,144,144,54,1,10,2019,Rush
TRUE,0,TRUE,5,-900,-900,11,1,10,2019,Rush
TRUE,7,TRUE,1,3271,1471,6,2,6,2019,Rush
TRUE,7,TRUE,5,-900,-900,5,2,4,2019,Rush
TRUE,7,TRUE,1,3030,1230,19,3,10,2019,Pass
TRUE,10,FALSE,2,2505,705,60,1,10,2019,Pass
TRUE,0,TRUE,2,1933,133,79,2,2,2019,Pass
